Material_ID,Compound_Formula,Predicted Value(Poisson_ratio),Computed_Value,Error(Computed-Predicted)
mp-1187146,SrAuO3,0.319249778985977,,-0.319249778985977
mp-22390,SrRuO3,0.273274779319763,0.31,0.036725220680237
mp-1187202,SrPtO3,0.28968420624733,,-0.28968420624733
mp-1193907,SrIrO3,0.303151547908783,,-0.303151547908783
mp-1208626,SrRhO3,0.290748476982117,,-0.290748476982117
mp-971975,SrHgO3,0.287776798009872,0.22,-0.067776798009873
mp-3626,SrZrO3,0.279018133878708,,-0.279018133878708
mp-3378,SrHfO3,0.258507072925568,0.26,0.001492927074432
mp-979294,SrAgO3,0.285136878490448,0.32,0.034863121509552
mp-1187247,SrMoO3,0.257835209369659,,-0.257835209369659
mp-1187190,SrPdO3,0.290407091379166,,-0.290407091379166
mp-12631,SrTcO3,0.243024289608002,0.35,0.106975710391998
